Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6786,0.8428,0.2993,0.6278,0.65,0.4655,0.4693
1,0.6429,0.823,0.3058,0.6166,0.6223,0.4055,0.4107
2,0.7054,0.8703,0.4737,0.6672,0.6763,0.5067,0.5128
3,0.7679,0.9105,0.3882,0.7381,0.7503,0.6174,0.6202
4,0.6429,0.8064,0.4459,0.6105,0.6253,0.4157,0.4173
5,0.625,0.8032,0.2759,0.5985,0.5994,0.369,0.3748
6,0.6964,0,0.3768,0.6804,0.6751,0.4952,0.5052
7,0.7054,0,0.3916,0.6704,0.6829,0.5106,0.5145
8,0.6429,0,0.3526,0.6073,0.6139,0.4042,0.4108
9,0.7477,0.8567,0.3694,0.7126,0.7293,0.5901,0.592
Mean,0.6855,0.5913,0.3679,0.6529,0.6625,0.478,0.4828
Std,0.0455,0.3882,0.0597,0.0457,0.0474,0.078,0.0773
