index,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.6855,0.5913,0.3679,0.6529,0.6625,0.478,0.4828,0.508
rf,Random Forest Classifier,0.6792,0.5826,0.3757,0.651,0.6593,0.4706,0.4754,0.68
lightgbm,Light Gradient Boosting Machine,0.6756,0.5752,0.3745,0.647,0.6572,0.4685,0.4719,0.414
gbc,Gradient Boosting Classifier,0.6435,0.5579,0.3526,0.6319,0.6311,0.4187,0.4222,1.298
lda,Linear Discriminant Analysis,0.5916,0.5326,0.3108,0.5729,0.5774,0.3351,0.3376,0.017
lr,Logistic Regression,0.5898,0.5257,0.267,0.5509,0.5581,0.3074,0.3138,0.749
ridge,Ridge Classifier,0.5818,0,0.2443,0.4879,0.5293,0.2793,0.289,0.014
dt,Decision Tree Classifier,0.5791,0.4665,0.3279,0.5824,0.5767,0.3344,0.3362,0.02
qda,Quadratic Discriminant Analysis,0.5702,0.5079,0.3212,0.5671,0.5615,0.308,0.3127,0.018
nb,Naive Bayes,0.513,0.5103,0.2865,0.5425,0.5226,0.2505,0.2528,0.016
ada,Ada Boost Classifier,0.4933,0.4033,0.2298,0.4523,0.4402,0.1785,0.1977,0.134
knn,K Neighbors Classifier,0.488,0.4415,0.2303,0.4565,0.4635,0.1492,0.1523,0.117
svm,SVM - Linear Kernel,0.4344,0,0.2151,0.4175,0.3396,0.106,0.1349,0.064
dummy,Dummy Classifier,0.4325,0.35,0.1767,0.1871,0.2612,0,0,0.014
