index,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.6756,0.4174,0.3519,0.6469,0.6547,0.4671,0.4717,0.919
et,Extra Trees Classifier,0.6711,0.4243,0.36,0.645,0.6522,0.4627,0.4671,0.51
lightgbm,Light Gradient Boosting Machine,0.6604,0.4085,0.3528,0.6353,0.6439,0.4475,0.4503,0.479
gbc,Gradient Boosting Classifier,0.6524,0.3994,0.3606,0.6379,0.6403,0.4386,0.4414,1.359
lda,Linear Discriminant Analysis,0.5997,0.3828,0.3569,0.5801,0.5852,0.3544,0.3582,0.017
lr,Logistic Regression,0.5952,0.3819,0.2958,0.5604,0.5681,0.3301,0.3369,1.075
ridge,Ridge Classifier,0.5818,0,0.2558,0.4884,0.5268,0.2863,0.298,0.02
dt,Decision Tree Classifier,0.5799,0.3371,0.313,0.5786,0.5774,0.3443,0.3454,0.035
ada,Ada Boost Classifier,0.5648,0.2917,0.2489,0.4714,0.5116,0.2579,0.2694,0.138
qda,Quadratic Discriminant Analysis,0.5621,0.3633,0.3229,0.557,0.5549,0.3055,0.3087,0.021
nb,Naive Bayes,0.546,0.3683,0.3438,0.5604,0.5484,0.3005,0.3033,0.027
knn,K Neighbors Classifier,0.504,0.3249,0.2409,0.4694,0.4757,0.174,0.1784,0.121
svm,SVM - Linear Kernel,0.4952,0,0.2428,0.4295,0.3991,0.1668,0.2165,0.07
dummy,Dummy Classifier,0.4334,0.25,0.1833,0.1879,0.2621,0,0,0.012
