Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6607,0.8101,0.2719,0.659,0.6142,0.4174,0.4283
1,0.5268,0.7152,0.207,0.4353,0.4746,0.1801,0.1876
2,0.5893,0.7876,0.233,0.4934,0.537,0.2907,0.2997
3,0.6696,0.8117,0.2657,0.5665,0.6129,0.4314,0.4459
4,0.625,0.7516,0.2574,0.6409,0.5827,0.3573,0.3676
5,0.5804,0.7525,0.2299,0.4857,0.5287,0.2763,0.2852
6,0.6071,0,0.2889,0.5097,0.5542,0.3229,0.333
7,0.6071,0,0.2889,0.5117,0.5551,0.3233,0.3336
8,0.5804,0,0.2781,0.4828,0.5262,0.2838,0.2934
9,0.6036,0.8096,0.2394,0.506,0.5505,0.3174,0.3271
Mean,0.605,0.5438,0.256,0.5291,0.5536,0.3201,0.3301
Std,0.0391,0.3572,0.0263,0.0679,0.0399,0.0685,0.07
