"index,Description,Value"
"0,session_id,6523"
"1,Target,Price"
"2,Original Data,""6000,8"""
"3,Missing Values,false"
"4,Numeric Features,1"
"5,Categorical Features,6"
"6,Ordinal Features,false"
"7,High Cardinality Features,false"
"8,High Cardinality Method,"
"9,Transformed Train Set,""4199,28"""
"10,Transformed Test Set,""1801,28"""
"11,Shuffle Train-Test,True"
"12,Stratify Train-Test,False"
"13,Fold Generator,KFold"
"14,Fold Number,10"
"15,CPU Jobs,-1"
"16,Use GPU,false"
"17,Log Experiment,false"
"18,Experiment Name,reg-default-name"
"19,USI,f9c6"
"20,Imputation Type,simple"
"21,Iterative Imputation Iteration,None"
"22,Numeric Imputer,mean"
"23,Iterative Imputation Numeric Model,None"
"24,Categorical Imputer,constant"
"25,Iterative Imputation Categorical Model,None"
"26,Unknown Categoricals Handling,least_frequent"
"27,Normalize,false"
"28,Normalize Method,None"
"29,Transformation,false"
"30,Transformation Method,None"
"31,PCA,false"
"32,PCA Method,None"
"33,PCA Components,None"
"34,Ignore Low Variance,false"
"35,Combine Rare Levels,false"
"36,Rare Level Threshold,None"
"37,Numeric Binning,false"
"38,Remove Outliers,false"
"39,Outliers Threshold,"
"40,Remove Multicollinearity,false"
"41,Multicollinearity Threshold,"
"42,Remove Perfect Collinearity,true"
"43,Clustering,false"
"44,Clustering Iteration,"
"45,Polynomial Features,false"
"46,Polynomial Degree,"
"47,Trignometry Features,false"
"48,Polynomial Threshold,"
"49,Group Features,false"
"50,Feature Selection,false"
"51,Feature Selection Method,classic"
"52,Features Selection Threshold,"
"53,Feature Interaction,false"
"54,Feature Ratio,false"
"55,Interaction Threshold,"
"56,Transform Target,false"
"57,Transform Target Method,box-cox"
