Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1180.7333,5790415.854,2406.3283,0.9389,0.1312,0.0988
1,1308.0963,6926587.762,2631.8411,0.9288,0.1343,0.1035
2,1319.6177,8153528.462,2855.4384,0.9111,0.1396,0.1037
3,1587.82,17802235.89,4219.2696,0.8796,0.1454,0.1057
4,1485.0995,10019268.2,3165.3228,0.9148,0.153,0.1128
5,1448.1581,10026141.73,3166.4083,0.9143,0.1487,0.1062
6,1447.5973,9365024.781,3060.2328,0.9047,0.1537,0.1115
7,1212.3681,5637870.909,2374.4201,0.9382,0.1454,0.1038
8,1213.2415,5242150.392,2289.5743,0.9419,0.1395,0.1044
9,1352.1003,8319997.3,2884.4406,0.9239,0.1444,0.1113
Mean,1355.4832,8728322.128,2905.3276,0.9196,0.1435,0.1062
Std,127.5342,3466570.608,536.091,0.0181,0.007,0.0042
